custid,gender,age,age_cat,debtinc,card,carditems,cardspent,cardtype,creddebt,commute,commutetime,card2,card2items,card2spent,card2type,marital,homeown,hometype,cars,carown,region,ed_cat,ed_years,job_cat,employ_years,emp_cat,retire,annual_income,inc_cat
3633-FNCRRV-3L1,Male,21,18-24,15.2,Discover,6,129.66,None,0.79,Walk,30,Mastercard,2,43.71,Gold,Unmarried,Own,Condominium/Townhouse,1,Own,Zone 3,High school degree,12,Sales and Office,0,Less than 2,No,14000.00,Under $25
2859-AEQFEZ-370,Male,27,25-34,8.8,Discover,12,214.41,Other,0.65,Car,26,Visa,2,51.84,Platinum,Unmarried,Rent,Single-family,5,Own,Zone 1,College degree,19,Agricultural and Natural Resources,2,2 to 5,No,44000.00,$25 - $49
0783-HVJTGM-A7X,Female,79,>65,18,Visa,8,155.69,Other,0.24,Bus,20,Mastercard,11,168.48,Platinum,Married,Rent,Mobile Home,2,Lease,Zone 2,Did not complete high school,10,Service,26,More than 15,Yes,18000.00,Under $25
8355-QECJPC-NPR,Female,18,18-24,4.7,American Express,11,248.45,Gold,0.24,Carpool,27,Visa,3,101.73,Other,Married,Rent,Multiple-Family,1,Own,Zone 3,High school degree,13,Sales and Office,0,Less than 2,No,17000.00,Under $25
7839-FMEUUD-1UE,Male,40,35-49,10.6,American Express,11,458.17,Gold,1.54,Bus,20,Discover,10,516.89,Other,Married,Rent,Single-family,0,N/A,Zone 4,Some college,15,Agricultural and Natural Resources,10,6 to 10,No,29000.00,$25 - $49
9506-MCBRGQ-4YC,Male,78,>65,7.3,American Express,15,580.43,Gold,0.65,Car,19,Mastercard,3,115.11,Gold,Married,Own,Mobile Home,2,Own,Zone 4,High school degree,14,Managerial and Professional,21,More than 15,No,76000.00,$75 - $124
3344-QSBKTM-ITP,Female,51,50-64,1.5,Discover,14,310.07,None,0.6,Car,22,Visa,6,139.49,Gold,Married,Own,Condominium/Townhouse,3,Lease,Zone 4,High school degree,12,Managerial and Professional,7,6 to 10,No,84000.00,$75 - $124
5242-PRFMXK-NEE,Female,58,50-64,11.6,Discover,9,348.98,Gold,0.71,Car,20,American Express,7,301.31,None,Unmarried,Rent,Multiple-Family,2,Own,Zone 1,College degree,17,Sales and Office,9,6 to 10,Yes,21000.00,Under $25
4281-FGXWGW-H6Q,Female,49,35-49,22.6,Other,12,354.17,Other,3.85,Car,23,Mastercard,7,226.93,Gold,Married,Rent,Multiple-Family,2,Own,Zone 2,Did not complete high school,10,Agricultural and Natural Resources,20,More than 15,No,67000.00,$50 - $74
3721-IODHSQ-PKB,Female,56,50-64,3.8,Discover,15,264.79,None,1.88,Telecommute,27,Mastercard,6,154.73,Other,Unmarried,Rent,Multiple-Family,1,Own,Zone 4,College degree,19,Managerial and Professional,8,6 to 10,No,122000.00,$75 - $124
6675-IONUEJ-H9C,Female,72,>65,5.7,Discover,8,128.8,Gold,0.39,Motorcycle,18,Visa,1,21.06,Other,Unmarried,Own,Single-family,0,N/A,Zone 2,High school degree,14,Sales and Office,4,2 to 5,No,27000.00,$25 - $49
3997-ODNQKQ-P12,Female,40,35-49,7.8,Discover,5,130.63,Gold,2.28,Car,15,American Express,5,129.04,Other,Unmarried,Rent,Multiple-Family,2,Own,Zone 1,High school degree,14,Sales and Office,3,2 to 5,No,46000.00,$25 - $49
1650-NPSXMX-ZPL,Male,57,50-64,1,American Express,10,629.73,Gold,0.17,Carpool,13,Discover,12,578.04,Gold,Married,Own,Condominium/Townhouse,2,Own,Zone 3,High school degree,12,Sales and Office,11,11 to 15,No,78000.00,$75 - $124
6441-JFGQBP-OUD,Female,34,25-34,17.5,American Express,9,213.63,None,2.09,Bus,31,Discover,7,207.19,Other,Unmarried,Rent,Single-family,2,Own,Zone 2,Post-undergraduate degree,20,Managerial and Professional,2,2 to 5,No,30000.00,$25 - $49
7954-GRFGYD-96L,Male,20,18-24,3.7,Visa,11,409.96,None,0.41,Car,25,Mastercard,4,159.02,None,Unmarried,Own,Condominium/Townhouse,2,Own,Zone 3,Some college,15,Managerial and Professional,0,Less than 2,No,33000.00,$25 - $49
3145-QKIDVL-ZLL,Female,63,50-64,3.8,Discover,9,294.19,Platinum,3.28,Other non-motorized transit,33,Visa,7,247.44,None,Unmarried,Own,Single-family,2,Own,Zone 2,High school degree,14,Managerial and Professional,11,11 to 15,No,179000.00,$125+
7046-KRQDBS-4MQ,Male,48,35-49,12.2,Mastercard,4,139.05,None,5.25,Car,23,Other,9,245.96,Platinum,Unmarried,Rent,Multiple-Family,3,Own,Zone 4,High school degree,14,"Operation, Fabrication, General Labor",20,More than 15,No,80000.00,$75 - $124
6959-RUXOVS-23R,Male,18,18-24,2.9,Visa,13,581.95,Other,0.14,Car,32,American Express,7,241.83,Platinum,Unmarried,Rent,Multiple-Family,3,Own,Zone 5,High school degree,13,Sales and Office,0,Less than 2,No,17000.00,Under $25
9559-JKEJRA-QU8,Female,23,18-24,16.4,Mastercard,8,198.42,Gold,1.51,Car,27,Visa,5,82.19,Platinum,Unmarried,Rent,Condominium/Townhouse,3,Own,Zone 4,High school degree,14,Sales and Office,0,Less than 2,No,18000.00,Under $25
2886-TPWOUY-VXI,Female,54,50-64,4.6,Discover,11,454.21,Platinum,8.49,Car,19,Visa,5,145.07,Other,Unmarried,Own,Single-family,3,Own,Zone 1,College degree,18,"Operation, Fabrication, General Labor",22,More than 15,No,280000.00,$125+
6575-TEJOHP-MYD,Male,64,50-64,13.9,American Express,12,317.86,Gold,1.1,Car,31,Discover,3,113.9,Other,Unmarried,Rent,Multiple-Family,3,Own,Zone 3,Post-undergraduate degree,21,Service,13,11 to 15,Yes,42000.00,$25 - $49
7284-IDVWBG-1CD,Male,56,50-64,5.8,Mastercard,12,350.68,Platinum,0.06,Bus,25,American Express,5,119.56,Gold,Married,Own,Single-family,2,Own,Zone 1,College degree,17,Sales and Office,4,2 to 5,No,32000.00,$25 - $49
1623-XBOPCW-38D,Male,68,>65,2.6,Visa,15,423.1,Platinum,0.38,Car,29,Mastercard,4,105.15,Other,Unmarried,Rent,Multiple-Family,2,Own,Zone 5,Some college,16,Service,26,More than 15,Yes,45000.00,$25 - $49
5268-BHJWZM-I2X,Male,66,>65,28.4,Discover,7,134.15,Gold,0.57,Walk,21,Mastercard,5,81.1,Platinum,Unmarried,Rent,Multiple-Family,2,Lease,Zone 3,Post-undergraduate degree,20,Service,19,More than 15,Yes,13000.00,Under $25
1512-YYHKDS-5KW,Female,49,35-49,21,Mastercard,17,568.21,Gold,4.61,Car,18,American Express,10,407.39,Platinum,Married,Rent,Multiple-Family,2,Own,Zone 3,Did not complete high school,11,Managerial and Professional,7,6 to 10,No,55000.00,$50 - $74
8384-RZNBUT-7AZ,Female,37,35-49,18.6,Discover,15,326.7,None,1,Walk,18,Mastercard,4,91.26,Other,Unmarried,Own,Single-family,2,Own,Zone 2,College degree,17,Managerial and Professional,3,2 to 5,No,20000.00,Under $25
9950-DBPJLI-54J,Female,24,18-24,6.9,Visa,5,57.31,None,0.79,Car,26,Mastercard,2,30.95,Platinum,Married,Own,Single-family,2,Own,Zone 5,High school degree,13,Sales and Office,1,Less than 2,No,33000.00,$25 - $49
7890-VEWOXD-P4P,Male,56,50-64,8.7,Visa,11,167.37,None,1.99,Car,21,Discover,5,56.65,Gold,Married,Own,Single-family,3,Lease,Zone 1,Did not complete high school,10,"Operation, Fabrication, General Labor",23,More than 15,No,59000.00,$50 - $74
1774-WOYEMR-B0C,Female,71,>65,17,Discover,11,199.66,Platinum,0.6,Walk,25,Visa,1,21.02,Gold,Married,Rent,Single-family,1,Lease,Zone 5,High school degree,13,Agricultural and Natural Resources,27,More than 15,Yes,12000.00,Under $25
7528-CWKDGJ-S8P,Female,52,50-64,6,Discover,8,297.58,None,0.67,Telecommute,30,American Express,7,262.55,None,Unmarried,Own,Single-family,1,Own,Zone 4,Some college,15,"Precision Production, Craft, Repair",16,More than 15,No,58000.00,$50 - $74
0945-HMTKYD-7XA,Female,72,>65,4.9,Discover,16,836.32,Other,1.52,Car,29,American Express,5,222.51,Gold,Married,Own,Condominium/Townhouse,2,Own,Zone 5,Some college,15,Sales and Office,9,6 to 10,No,84000.00,$75 - $124
5315-KXMKSF-HHP,Female,44,35-49,4,Discover,12,246.32,Gold,0.14,Telecommute,17,American Express,1,21.23,Other,Unmarried,Rent,Multiple-Family,1,Own,Zone 1,High school degree,12,Service,7,6 to 10,No,62000.00,$50 - $74
3061-BCDADT-UYR,Female,61,50-64,10.8,Discover,14,407.32,Platinum,1.28,Walk,25,Mastercard,6,283.52,None,Married,Rent,Multiple-Family,2,Own,Zone 5,Did not complete high school,8,Sales and Office,4,2 to 5,No,27000.00,$25 - $49
4781-FMFUUI-TUJ,Female,36,35-49,17.6,Visa,7,185.78,Gold,2.52,Car,30,Mastercard,9,322.25,Other,Married,Own,Condominium/Townhouse,2,Own,Zone 4,Some college,15,Managerial and Professional,8,6 to 10,No,63000.00,$50 - $74
8346-PSWQNN-C1W,Male,31,25-34,6.6,American Express,13,494.9,Other,1.29,Car,27,Discover,3,104.91,Platinum,Unmarried,Rent,Multiple-Family,3,Own,Zone 2,College degree,18,Service,4,2 to 5,No,56000.00,$50 - $74
8258-LKZAHW-Q0J,Female,57,50-64,1.9,American Express,6,751.63,Other,2.4,Train/Subway,23,Discover,4,362.57,Platinum,Married,Own,Single-family,0,N/A,Zone 2,Did not complete high school,10,"Operation, Fabrication, General Labor",34,More than 15,No,202000.00,$125+
7574-LRLMQG-HYV,Male,33,25-34,21.2,Visa,10,276.25,None,2.59,Telecommute,19,American Express,5,238.99,Platinum,Unmarried,Own,Single-family,0,N/A,Zone 1,High school degree,13,Service,6,6 to 10,No,29000.00,$25 - $49
0675-OEJTZS-ZCZ,Male,25,25-34,14.6,Mastercard,5,54.52,None,0.85,Car,19,Other,3,52.03,Gold,Unmarried,Own,Multiple-Family,3,Own,Zone 4,High school degree,13,Managerial and Professional,2,2 to 5,No,35000.00,$25 - $49
0726-OZBZGQ-083,Female,44,35-49,14.1,Discover,9,218.64,Gold,0.6,Car,28,American Express,1,20.6,Gold,Married,Rent,Multiple-Family,3,Own,Zone 5,Did not complete high school,10,Service,14,11 to 15,No,29000.00,$25 - $49
0946-NYLZQX-134,Male,49,35-49,8.4,Mastercard,17,622.47,Gold,3.03,Car,23,Visa,11,375.47,Gold,Unmarried,Rent,Single-family,3,Own,Zone 1,Some college,16,Sales and Office,5,2 to 5,No,138000.00,$125+
4246-VOCDAN-ZIV,Male,57,50-64,6.9,American Express,8,946.23,None,5.15,Car,25,Discover,10,1196.58,Other,Married,Own,Single-family,2,Own,Zone 2,College degree,17,Service,23,More than 15,No,145000.00,$125+
5610-LAHIQK-7Q0,Male,21,18-24,7.2,Visa,17,485.41,Platinum,1.05,Train/Subway,18,Mastercard,5,93.02,Platinum,Unmarried,Rent,Multiple-Family,2,Own,Zone 1,Some college,16,"Precision Production, Craft, Repair",0,Less than 2,No,21000.00,Under $25
4130-XFRRXQ-BSO,Female,27,25-34,11.9,Visa,19,618.67,Gold,1.13,Carpool,29,Mastercard,5,208.45,Other,Married,Rent,Multiple-Family,2,Own,Zone 5,Did not complete high school,11,Sales and Office,1,Less than 2,No,17000.00,Under $25
6937-SCOHRX-FOP,Female,23,18-24,15.3,Discover,14,278.34,Gold,0.65,Car,22,Visa,8,180.79,Platinum,Unmarried,Own,Single-family,3,Own,Zone 5,Some college,16,Agricultural and Natural Resources,1,Less than 2,No,14000.00,Under $25
5751-IXXZFS-3N7,Female,67,>65,6.8,Mastercard,5,49.16,Other,0.11,Car,25,Discover,1,15.34,Platinum,Unmarried,Own,Condominium/Townhouse,3,Lease,Zone 5,Did not complete high school,11,Managerial and Professional,8,6 to 10,Yes,10000.00,Under $25
9685-CNYUFH-WRN,Male,67,>65,22.9,Discover,5,86.84,Platinum,1.5,Walk,22,Mastercard,1,12.53,Gold,Married,Own,Condominium/Townhouse,0,N/A,Zone 2,Did not complete high school,11,Sales and Office,3,2 to 5,No,24000.00,Under $25
3946-OKMWQZ-5TL,Male,30,25-34,7.4,Mastercard,13,495.02,None,4.85,Car,26,American Express,4,146.3,None,Married,Own,Condominium/Townhouse,3,Own,Zone 5,Post-undergraduate degree,22,Sales and Office,0,Less than 2,No,127000.00,$125+
1084-BMZWDC-CRS,Male,61,50-64,6.6,Mastercard,12,406.75,Other,0.18,Car,21,Discover,6,119.57,None,Married,Own,Single-family,2,Own,Zone 5,College degree,17,Managerial and Professional,7,6 to 10,No,22000.00,Under $25
0665-MNBZIA-8F2,Female,46,35-49,5,Visa,7,191.86,Other,0.12,Car,28,Mastercard,4,132.3,Platinum,Unmarried,Rent,Multiple-Family,2,Own,Zone 1,High school degree,12,Sales and Office,4,2 to 5,No,27000.00,$25 - $49
2995-CZZGTS-6LP,Male,36,35-49,16,American Express,8,489.66,Gold,4.38,Car,33,Mastercard,5,155.86,Other,Unmarried,Own,Condominium/Townhouse,3,Own,Zone 5,Did not complete high school,11,"Precision Production, Craft, Repair",9,6 to 10,No,71000.00,$50 - $74
6665-LFQNEK-0QZ,Female,53,50-64,12.6,Discover,11,485.26,None,3.41,Car,26,Mastercard,9,482.02,Gold,Married,Own,Single-family,2,Own,Zone 5,Did not complete high school,9,"Operation, Fabrication, General Labor",28,More than 15,No,130000.00,$125+
7022-TGJLKU-HWG,Male,21,18-24,10,American Express,7,149.86,None,1.14,Car,23,Mastercard,9,381.84,None,Unmarried,Rent,Multiple-Family,3,Own,Zone 1,Some college,16,Sales and Office,0,Less than 2,No,20000.00,Under $25
6225-IYEVGJ-SK3,Female,37,35-49,0.3,Mastercard,14,355.21,Other,0.04,Car,28,Other,1,39.97,Other,Unmarried,Own,Single-family,4,Lease,Zone 4,High school degree,12,"Operation, Fabrication, General Labor",15,11 to 15,No,56000.00,$50 - $74
0187-MUTJIS-0D6,Female,26,25-34,11.8,Discover,8,126.32,Other,0.82,Car,23,Visa,4,69.91,Gold,Married,Own,Single-family,3,Own,Zone 2,College degree,17,"Operation, Fabrication, General Labor",3,2 to 5,No,48000.00,$25 - $49
0869-WBUKGJ-FK9,Female,55,50-64,15.3,Visa,10,280.77,Other,3.1,Car,22,Discover,7,206.27,Other,Unmarried,Rent,Multiple-Family,3,Own,Zone 4,High school degree,12,Service,12,11 to 15,No,60000.00,$50 - $74
2121-SVIHEQ-LY9,Female,22,18-24,6.6,American Express,14,259.73,Gold,0.73,Car,22,Visa,4,68.03,Platinum,Married,Own,Multiple-Family,3,Own,Zone 3,College degree,17,Managerial and Professional,0,Less than 2,No,19000.00,Under $25
0579-KWKINA-B6B,Female,42,35-49,7.8,Mastercard,8,273.99,Platinum,3.07,Car,25,Discover,6,369.24,Other,Married,Own,Condominium/Townhouse,2,Lease,Zone 3,High school degree,14,Sales and Office,9,6 to 10,No,72000.00,$50 - $74
3098-CDGMJU-BJR,Male,48,35-49,12.7,Mastercard,12,628.67,Platinum,1.16,Car,31,Discover,5,235.21,None,Married,Own,Condominium/Townhouse,3,Own,Zone 5,Did not complete high school,9,"Precision Production, Craft, Repair",20,More than 15,No,56000.00,$50 - $74
8020-AQGZRD-10V,Female,34,25-34,19.4,Visa,12,1250.04,Gold,3.39,Car,25,American Express,8,601.93,None,Unmarried,Own,Single-family,4,Lease,Zone 5,Some college,16,Sales and Office,3,2 to 5,No,58000.00,$50 - $74
7734-RQNCWZ-HKY,Male,60,50-64,29,Mastercard,10,257.11,Platinum,5.01,Car,32,Visa,3,50.36,Gold,Married,Own,Mobile Home,4,Own,Zone 4,Did not complete high school,8,Agricultural and Natural Resources,29,More than 15,No,106000.00,$75 - $124
0110-CJNSND-Y6N,Male,23,18-24,10.7,Discover,13,244.68,None,0.11,Train/Subway,13,Mastercard,3,32.22,Gold,Married,Own,Single-family,1,Own,Zone 2,College degree,18,"Precision Production, Craft, Repair",0,Less than 2,No,22000.00,Under $25
6723-PDFCAS-H16,Female,27,25-34,8.7,Visa,10,100.22,None,0.16,Car,35,Other,7,78.25,Other,Unmarried,Own,Single-family,3,Lease,Zone 2,Did not complete high school,11,Sales and Office,1,Less than 2,No,21000.00,Under $25
9716-WKBJBO-YPB,Female,43,35-49,20.5,American Express,14,386.77,None,4.9,Car,25,Mastercard,4,110.76,Gold,Unmarried,Rent,Multiple-Family,4,Own,Zone 1,High school degree,14,"Precision Production, Craft, Repair",9,6 to 10,No,41000.00,$25 - $49
3060-SWWVXP-R89,Female,46,35-49,10,Mastercard,14,303.86,None,1.71,Walk,38,American Express,9,271.13,Other,Unmarried,Rent,Multiple-Family,1,Own,Zone 3,Did not complete high school,11,Sales and Office,4,2 to 5,No,45000.00,$25 - $49
0801-URJKXZ-KRO,Female,75,>65,13.6,American Express,12,603.37,Platinum,3.81,Car,30,Discover,6,402.41,None,Unmarried,Own,Single-family,2,Own,Zone 4,Did not complete high school,11,"Operation, Fabrication, General Labor",45,More than 15,No,346000.00,$125+
3273-TYTELD-2LT,Female,43,35-49,1.2,Visa,7,201.03,Platinum,0.05,Car,23,Mastercard,7,163.78,Platinum,Married,Own,Condominium/Townhouse,3,Own,Zone 5,Some college,15,Sales and Office,6,6 to 10,No,34000.00,$25 - $49
4125-QITBVT-O18,Female,61,50-64,8.3,Visa,14,425.52,Platinum,2.32,Car,30,Discover,6,244.01,None,Married,Own,Single-family,2,Own,Zone 1,Some college,16,Managerial and Professional,12,11 to 15,No,68000.00,$50 - $74
0394-AVUMJX-JAH,Female,35,35-49,2.6,American Express,8,373.04,Gold,0.45,Carpool,27,Mastercard,5,202.26,Gold,Unmarried,Own,Single-family,0,N/A,Zone 3,College degree,17,Agricultural and Natural Resources,10,6 to 10,No,25000.00,$25 - $49
9074-WPMXYF-1UR,Female,48,35-49,9.8,Mastercard,11,287.74,Platinum,1.61,Car,23,American Express,5,145.81,Platinum,Unmarried,Own,Single-family,2,Own,Zone 5,College degree,19,Sales and Office,2,2 to 5,No,25000.00,$25 - $49
8734-GZXOYQ-8WM,Male,79,>65,2.6,American Express,11,298.68,Gold,0.14,Bus,25,Mastercard,8,368.85,None,Unmarried,Rent,Multiple-Family,2,Own,Zone 1,Some college,16,"Operation, Fabrication, General Labor",26,More than 15,Yes,19000.00,Under $25
9517-AJMRRS-H7Q,Male,35,35-49,21.7,Discover,10,205.54,Other,8.21,Car,30,Mastercard,3,57.26,Gold,Married,Own,Single-family,4,Own,Zone 5,High school degree,13,"Operation, Fabrication, General Labor",11,11 to 15,No,44000.00,$25 - $49
0243-FFVTII-MLA,Male,53,50-64,27,Mastercard,10,200.52,Gold,7.85,Car,24,Discover,4,174.18,Gold,Married,Own,Single-family,2,Own,Zone 5,Some college,15,Sales and Office,6,6 to 10,No,81000.00,$75 - $124
1694-SXDBNI-CEI,Male,55,50-64,4.8,Discover,12,605.58,Platinum,1.08,Car,24,American Express,2,44.03,Other,Married,Own,Single-family,3,Own,Zone 4,Post-undergraduate degree,20,Sales and Office,2,2 to 5,No,48000.00,$25 - $49
2762-FRPZQX-H63,Female,35,35-49,8.1,Mastercard,6,177.57,Gold,1.64,Telecommute,24,Discover,7,246.02,Gold,Married,Own,Multiple-Family,0,N/A,Zone 3,Some college,15,Service,6,6 to 10,No,39000.00,$25 - $49
4932-WLESZG-CWJ,Female,37,35-49,36.4,Other,7,126.4,Other,1.46,Car,33,Discover,1,6.54,Platinum,Unmarried,Own,Condominium/Townhouse,3,Lease,Zone 4,Did not complete high school,8,Sales and Office,3,2 to 5,No,19000.00,Under $25
3306-UHHKNU-YD7,Female,70,>65,7.7,Discover,9,182.31,Platinum,0.32,Walk,22,Mastercard,1,16.89,Other,Unmarried,Own,Condominium/Townhouse,2,Lease,Zone 2,Some college,15,"Operation, Fabrication, General Labor",31,More than 15,Yes,16000.00,Under $25
7974-YSUMFT-CXO,Male,63,50-64,5.8,Discover,12,346.04,Platinum,1.93,Other public transit,33,American Express,4,205.32,Platinum,Unmarried,Own,Single-family,2,Own,Zone 5,College degree,19,"Precision Production, Craft, Repair",24,More than 15,Yes,68000.00,$50 - $74
8700-TZAFBP-L82,Female,58,50-64,12.4,American Express,8,443.22,Gold,1.93,Other public transit,27,Mastercard,8,360.43,None,Unmarried,Rent,Single-family,0,N/A,Zone 1,High school degree,13,Sales and Office,10,6 to 10,No,35000.00,$25 - $49
6713-UVLATG-1XY,Female,74,>65,17.1,Mastercard,12,132.5,Platinum,1.62,Motorcycle,21,Visa,2,34.21,Other,Unmarried,Own,Single-family,2,Own,Zone 4,College degree,17,Service,28,More than 15,Yes,38000.00,$25 - $49
5022-HSDDTP-CPJ,Female,34,25-34,15.7,Visa,11,261.73,None,3.13,Car,18,Mastercard,2,33.83,Gold,Married,Own,Single-family,2,Own,Zone 1,Some college,16,Sales and Office,1,Less than 2,No,29000.00,$25 - $49
1521-BGJXTO-ABT,Male,54,50-64,3,Mastercard,5,177.02,Other,0.62,Other non-motorized transit,33,Visa,5,125.82,None,Married,Own,Single-family,2,Own,Zone 5,College degree,18,Service,18,More than 15,No,113000.00,$75 - $124
3865-YBXYZR-N1T,Male,71,>65,7.3,American Express,11,489.98,Platinum,1.07,Car,22,Discover,6,259.57,Platinum,Married,Own,Single-family,3,Own,Zone 3,Some college,15,"Operation, Fabrication, General Labor",38,More than 15,Yes,37000.00,$25 - $49
6030-WPRQNM-02C,Male,71,>65,11.4,Mastercard,12,263.3,Platinum,0.59,Car,19,Visa,2,36.59,Other,Married,Own,Single-family,4,Own,Zone 3,High school degree,14,Sales and Office,1,Less than 2,No,34000.00,$25 - $49
0057-EYQWVK-ESK,Male,69,>65,5.8,Discover,8,206.24,None,0.79,Car,32,Visa,9,229.27,Platinum,Unmarried,Own,Single-family,3,Own,Zone 5,College degree,18,"Precision Production, Craft, Repair",37,More than 15,Yes,46000.00,$25 - $49
4063-VPEQEG-YXD,Male,29,25-34,3.8,American Express,6,216.55,Platinum,0.67,Bus,33,Visa,7,190.05,Gold,Unmarried,Own,Multiple-Family,0,N/A,Zone 2,High school degree,13,Managerial and Professional,1,Less than 2,No,32000.00,$25 - $49
8766-NRLBWY-N4T,Female,51,50-64,13.6,Discover,6,102.27,Other,0.26,Car,27,Visa,1,31.94,Gold,Unmarried,Own,Single-family,4,Own,Zone 3,High school degree,12,Managerial and Professional,8,6 to 10,No,36000.00,$25 - $49
5449-PZVMRO-T9S,Female,69,>65,11.5,American Express,6,279.09,None,3.14,Car,27,Discover,2,107.15,Other,Married,Rent,Single-family,5,Own,Zone 2,College degree,18,"Precision Production, Craft, Repair",33,More than 15,Yes,73000.00,$50 - $74
0468-GLIWUH-DWI,Male,21,18-24,5.3,Other,13,351.56,Gold,0.77,Car,26,Mastercard,7,216.77,Gold,Unmarried,Rent,Condominium/Townhouse,2,Own,Zone 2,Did not complete high school,10,Service,3,2 to 5,No,20000.00,Under $25
0618-CZVRYU-54O,Male,55,50-64,4.7,Discover,2,77.52,Platinum,1.35,Train/Subway,23,Mastercard,6,90.02,Gold,Married,Rent,Multiple-Family,0,N/A,Zone 4,College degree,18,"Operation, Fabrication, General Labor",15,11 to 15,No,55000.00,$50 - $74
0097-WZJEZS-RAN,Male,51,50-64,2.1,American Express,5,249,Platinum,0.36,Car,31,Discover,8,349.5,None,Unmarried,Own,Single-family,2,Own,Zone 2,High school degree,14,"Operation, Fabrication, General Labor",18,More than 15,No,187000.00,$125+
0412-LYGHKQ-8SE,Male,64,50-64,9.9,Mastercard,5,91.66,Platinum,0.71,Car,19,Visa,3,38.16,Platinum,Married,Rent,Multiple-Family,2,Lease,Zone 1,College degree,19,"Operation, Fabrication, General Labor",15,11 to 15,Yes,32000.00,$25 - $49
1673-ELFQSL-WGX,Female,33,25-34,13.3,Mastercard,7,153.46,Gold,2.12,Car,29,Visa,7,166.76,Platinum,Unmarried,Own,Single-family,4,Own,Zone 2,Did not complete high school,11,"Precision Production, Craft, Repair",12,11 to 15,No,28000.00,$25 - $49
0764-PPXTHN-RYF,Female,24,18-24,11.4,American Express,16,912.77,Gold,0.28,Motorcycle,22,Mastercard,10,1123.48,Gold,Married,Own,Single-family,1,Own,Zone 3,High school degree,12,Service,2,2 to 5,No,16000.00,Under $25
0338-BKEZYW-DWC,Male,49,35-49,11,Mastercard,11,354.55,Other,1.77,Car,19,American Express,6,310.06,Other,Unmarried,Own,Mobile Home,4,Own,Zone 5,High school degree,14,Managerial and Professional,15,11 to 15,No,146000.00,$125+
7913-CFJRLH-AX8,Male,33,25-34,5.4,Other,11,288.86,Gold,0.27,Car,25,Mastercard,6,164.48,None,Unmarried,Rent,Multiple-Family,2,Own,Zone 2,Did not complete high school,11,Managerial and Professional,4,2 to 5,No,30000.00,$25 - $49
4377-YZURZI-C2V,Female,56,50-64,7,American Express,9,425.55,Gold,1.8,Bus,22,Mastercard,5,218.27,Platinum,Unmarried,Own,Condominium/Townhouse,1,Own,Zone 4,Some college,15,Sales and Office,11,11 to 15,No,45000.00,$25 - $49
8297-DXUNEJ-3AN,Male,45,35-49,8.1,American Express,9,379.2,Gold,0.67,Walk,25,Discover,0,0,Platinum,Married,Rent,Multiple-Family,1,Own,Zone 2,High school degree,14,Service,14,11 to 15,No,56000.00,$50 - $74
2233-VVYISL-VUT,Female,35,35-49,9.9,Visa,10,236.92,Platinum,1.25,Car,19,Other,5,110.83,Gold,Married,Own,Single-family,3,Own,Zone 2,College degree,19,Sales and Office,2,2 to 5,No,60000.00,$50 - $74
0413-SGEEWA-MBY,Female,19,18-24,4.3,Other,12,361.34,None,0.18,Car,17,Mastercard,3,51.63,None,Unmarried,Own,Single-family,3,Own,Zone 2,Did not complete high school,10,"Precision Production, Craft, Repair",1,Less than 2,No,18000.00,Under $25
7297-WXDMAN-VFX,Female,54,50-64,20.2,Visa,14,470.48,Platinum,2.36,Walk,21,Mastercard,3,128.35,Gold,Unmarried,Own,Single-family,1,Own,Zone 2,Did not complete high school,10,Sales and Office,8,6 to 10,No,24000.00,Under $25
9320-YDWRSD-LSF,Male,25,25-34,5.2,Mastercard,4,80.03,Platinum,0.72,Bus,32,Discover,0,0,Platinum,Unmarried,Rent,Multiple-Family,1,Own,Zone 4,College degree,19,"Precision Production, Craft, Repair",0,Less than 2,No,26000.00,$25 - $49
8845-CTAEDU-PX9,Female,61,50-64,16.5,Visa,15,579.37,Other,2.96,Car,26,Discover,5,261.5,None,Unmarried,Own,Condominium/Townhouse,3,Own,Zone 1,Did not complete high school,10,"Operation, Fabrication, General Labor",37,More than 15,Yes,55000.00,$50 - $74
1100-MHOLDR-TXJ,Female,33,25-34,16.4,Visa,10,326.44,None,1.77,Car,16,Discover,10,191.85,Platinum,Unmarried,Own,Single-family,3,Own,Zone 1,College degree,18,Managerial and Professional,3,2 to 5,No,33000.00,$25 - $49
8662-IXXFSD-7ZL,Female,27,25-34,16,Discover,8,174.21,Platinum,1.37,Walk,26,American Express,4,100.09,None,Unmarried,Own,Mobile Home,1,Own,Zone 5,High school degree,14,"Operation, Fabrication, General Labor",5,2 to 5,No,78000.00,$75 - $124
7157-ZSGQGF-P1D,Male,18,18-24,12.7,Visa,11,466.07,Other,0.43,Car,33,Mastercard,3,157.1,Platinum,Unmarried,Own,Single-family,2,Lease,Zone 3,High school degree,13,Sales and Office,0,Less than 2,No,20000.00,Under $25
0915-CAKCFB-GSU,Male,22,18-24,9.2,Visa,8,207.83,Other,0.33,Car,21,Mastercard,6,119.02,Other,Married,Own,Condominium/Townhouse,3,Own,Zone 1,High school degree,14,Managerial and Professional,0,Less than 2,No,19000.00,Under $25
6673-CXXSZY-LRG,Male,22,18-24,27.2,American Express,8,227.76,Gold,2.73,Car,32,Visa,5,154.35,None,Married,Rent,Multiple-Family,2,Own,Zone 1,College degree,17,Sales and Office,0,Less than 2,No,25000.00,$25 - $49
